ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007411,axon guidance,38/791,243/18860,0.15637860082304528,3.7285719488276032,8.9570337477324,2.210735178429682e-12,6.18958291495521e-9,4.842812306373813e-9,NEXN/CXCL12/LAMA2/PLXNA4/NR4A3/EPHB2/ABLIM1/FLRT3/APBB2/EPHB6/RPS6KA5/SEMA3A/EPHB3/GDNF/ROBO1/KIAA1755/PLEKHG4/ULK2/SMO/CYFIP2/UNC5B/VEGFA/TGFB2/GDF7/SEMA6D/CHL1/SCN1B/RAC3/NTN4/NRP2/EGR2/KALRN/NRXN3/CDH4/EPHA4/LGI1/EPHA5/PTPRH,38
GO:0097485,neuron projection guidance,38/791,244/18860,0.1557377049180328,3.7132909162504406,8.925418772310733,2.516090615835451e-12,6.18958291495521e-9,4.842812306373813e-9,NEXN/CXCL12/LAMA2/PLXNA4/NR4A3/EPHB2/ABLIM1/FLRT3/APBB2/EPHB6/RPS6KA5/SEMA3A/EPHB3/GDNF/ROBO1/KIAA1755/PLEKHG4/ULK2/SMO/CYFIP2/UNC5B/VEGFA/TGFB2/GDF7/SEMA6D/CHL1/SCN1B/RAC3/NTN4/NRP2/EGR2/KALRN/NRXN3/CDH4/EPHA4/LGI1/EPHA5/PTPRH,38
GO:0007409,axonogenesis,53/791,472/18860,0.11228813559322035,2.6773125629432815,7.72143935251416,6.72441058617411e-11,1.1028033361325541e-7,8.628480531101304e-8,NEXN/CXCL12/CCKAR/ADARB1/LAMA2/PLXNA4/NR4A3/CRABP2/EPHB2/ABLIM1/FLRT3/ADCY1/APBB2/EPHB6/RPS6KA5/RND2/SEMA3A/EPHB3/GDNF/ROBO1/KIAA1755/PLEKHG4/FGF13/ULK2/ARHGEF28/SMO/SLITRK6/CYFIP2/UNC5B/VEGFA/TGFB2/GDF7/SEMA6D/CHL1/SCN1B/RAC3/NTN4/SPTBN4/NRP2/PLPPR4/EGR2/PAK3/KALRN/FGFR2/NRXN3/CDH4/EPHA4/NGF/LGI1/EPHA5/CCK/NTNG1/PTPRH,53
GO:0003012,muscle system process,51/791,485/18860,0.10515463917525773,2.5072269214227063,7.035846422651335,1.5701769768527368e-9,1.55346685696028e-6,1.2154532083662267e-6,CACNB2/KLF15/ERRFI1/FOXO1/PDLIM5/LMCD1/LMOD1/NR4A3/SCN7A/OXTR/ABCC9/ABAT/APBB2/SGCD/FOXO3/CFLAR/ACTA2/LEP/DMD/ATP2A2/GDNF/CLIC2/ADRA1B/FGF13/TRPA1/BDKRB2/ITGA2/ANK2/NEDD4L/DDIT3/PPARG/AGT/SCN1B/KCNE3/STC1/PI16/CACNA1G/ADRA2A/ARHGAP42/KCND3/MYOZ2/HMOX1/KCND2/ADORA1/MSTN/RGS4/FBXO32/PKP2/CKMT2/HTR2A/JPH2,51
GO:0030198,extracellular matrix organization,40/791,331/18860,0.12084592145015106,2.881357874272881,7.225034658481645,1.8525990407899613e-9,1.55346685696028e-6,1.2154532083662267e-6,ADAMTS1/PDPN/PTX3/LAMA2/COL11A1/COL1A1/ADAMTS14/CRISPLD2/GPM6B/COL4A1/APBB2/COL4A4/CFLAR/NID1/POSTN/KAZALD1/SOX9/ITGA2/ADAMTSL1/AXIN2/SPINT2/ITGA8/DPT/ANGPTL7/TGFB2/MMP15/PPARG/AGT/NTN4/TNFRSF11B/CCN1/COL4A3/COL27A1/PAPLN/ADAMTS5/RGCC/SFRP2/OLFML2A/RXFP1/OLFML2B,40
GO:0043062,extracellular structure organization,40/791,332/18860,0.12048192771084337,2.872679085494951,7.20275502486679,2.023939551468373e-9,1.55346685696028e-6,1.2154532083662267e-6,ADAMTS1/PDPN/PTX3/LAMA2/COL11A1/COL1A1/ADAMTS14/CRISPLD2/GPM6B/COL4A1/APBB2/COL4A4/CFLAR/NID1/POSTN/KAZALD1/SOX9/ITGA2/ADAMTSL1/AXIN2/SPINT2/ITGA8/DPT/ANGPTL7/TGFB2/MMP15/PPARG/AGT/NTN4/TNFRSF11B/CCN1/COL4A3/COL27A1/PAPLN/ADAMTS5/RGCC/SFRP2/OLFML2A/RXFP1/OLFML2B,40
GO:0045229,external encapsulating structure organization,40/791,333/18860,0.12012012012012012,2.8640524215745455,7.180558101330042,2.2102170729109675e-9,1.55346685696028e-6,1.2154532083662267e-6,ADAMTS1/PDPN/PTX3/LAMA2/COL11A1/COL1A1/ADAMTS14/CRISPLD2/GPM6B/COL4A1/APBB2/COL4A4/CFLAR/NID1/POSTN/KAZALD1/SOX9/ITGA2/ADAMTSL1/AXIN2/SPINT2/ITGA8/DPT/ANGPTL7/TGFB2/MMP15/PPARG/AGT/NTN4/TNFRSF11B/CCN1/COL4A3/COL27A1/PAPLN/ADAMTS5/RGCC/SFRP2/OLFML2A/RXFP1/OLFML2B,40
GO:0001503,ossification,48/791,455/18860,0.1054945054945055,2.515330434420194,6.8458226871468515,4.327159901079635e-9,2.6612033391639754e-6,2.0821610208221346e-6,SORT1/FSTL3/COL1A1/CCN3/ZBTB16/TMT1A/CEBPD/GPM6B/ITGA11/IGFBP2/CBS/LOC102724560/ZHX3/FBN2/TMEM119/TENT5A/DHRS3/IGSF10/LEP/PKDCC/S1PR1/CCN2/RASSF2/P2RX7/LRRC17/KAZALD1/SOX9/LGR4/CRIM1/SMO/DNAI3/AXIN2/VEGFA/PPARG/RSPO2/TNFAIP6/CCN1/STC1/MSX2/CHRDL2/GDF5/EGR2/CHRDL1/FGFR2/SFRP2/SLC24A3/TFAP2A/ENPP1,48
GO:0032970,regulation of actin filament-based process,44/791,402/18860,0.10945273631840796,2.6097074677182985,6.825715420534246,6.36184764210582e-9,3.477810044351181e-6,2.7210850090270155e-6,PDPN/CXCL12/SYNPO2/FAM107A/CDC42EP3/AMOT/DAAM2/GPM6B/LMOD1/ARHGAP28/WASF3/MYADM/PIK3R1/NEDD9/PRKCE/RND2/ACTA2/S1PR1/NF2/ATP2A2/CORO2B/FGF13/CCN2/CARMIL1/CIT/KANK1/DNAI3/ANK2/SSH2/CYFIP2/TGFB2/RAC3/MTSS1/SPTBN4/CRACD/STC1/PAK3/RGCC/ARHGEF19/ADORA1/RGS4/EPHA5/PKP2/CCL11,44
GO:0044703,multi-organism reproductive process,29/791,217/18860,0.1336405529953917,3.186423298979883,6.777768433704473,3.493624633886933e-8,1.718863319872371e-5,1.3448616090657383e-5,ERRFI1/IGFBP2/CBS/LOC102724560/CITED2/FBN2/OXTR/CORIN/LIF/MAFF/LEP/SLC38A2/ITGA2/VEGFA/STC1/PLA2G4C/PSG1/PSG4/PRDM1/ADRA2A/RXFP1/HSD11B2/MSTN/STOX2/PTGS2/STC2/ACVR1C/ESR1/TPPP3,29
